      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2015-08-26 09:37:09,  46625,     240.03,         136,       0.02,      194.25,        0.57,        3.07,   46625,       0
2015-08-26 09:42:09,  46107,     240.02,         135,       0.02,      192.10,        0.56,        3.47,   46107,       0
2015-08-26 09:47:09,  46336,     240.03,         136,       0.02,      193.04,        0.57,        3.13,   46336,       0
2015-08-26 09:52:09,  46747,     240.03,         137,       0.02,      194.75,        0.57,        3.16,   46747,       0
2015-08-26 09:57:09,  46495,     240.03,         136,       0.02,      193.70,        0.57,        3.51,   46495,       0
2015-08-26 10:02:09,  46481,     240.03,         136,       0.02,      193.65,        0.57,        3.08,   46481,       0
2015-08-26 10:07:09,  46656,     240.03,         136,       0.02,      194.38,        0.57,        3.19,   46656,       0
2015-08-26 10:12:09,  46455,     240.03,         136,       0.02,      193.54,        0.57,        3.48,   46455,       0
2015-08-26 10:17:09,  38718,     240.04,         113,       0.12,      161.30,        0.47,       19.43,   38718,       0
2015-08-26 10:22:39,  38534,     240.03,         113,       0.12,      160.54,        0.47,       19.52,   38534,       0
2015-08-26 10:28:09,  38426,     240.03,         112,       0.12,      160.09,        0.47,       19.89,   38426,       2
2015-08-26 10:33:39,  37997,     240.03,         111,       0.13,      158.30,        0.46,       20.31,   37997,       0
2015-08-26 10:39:09,  38721,     240.04,         113,       0.12,      161.31,        0.47,       19.42,   38721,       0
2015-08-26 10:44:39,  38332,     240.03,         112,       0.12,      159.70,        0.47,       19.48,   38332,       4
2015-08-26 10:50:09,  38336,     240.03,         112,       0.12,      159.71,        0.47,       19.39,   38336,       0
2015-08-26 10:55:39,  39030,     240.03,         114,       0.12,      162.60,        0.47,       18.83,   39030,       1
2015-08-26 11:01:09,  38666,     240.03,         113,       0.12,      161.09,        0.47,       19.79,   38666,       0
2015-08-26 11:06:39,  38702,     240.03,         113,       0.12,      161.24,        0.47,       19.79,   38702,       0
2015-08-26 11:12:09,  38506,     240.03,         113,       0.12,      160.42,        0.47,       19.39,   38506,       0
2015-08-26 11:17:39,  38301,     240.03,         112,       0.13,      159.57,        0.47,       20.10,   38301,       0
2015-08-26 11:23:09,  38814,     240.03,         113,       0.12,      161.70,        0.47,       19.01,   38814,       1
2015-08-26 11:28:39,  38578,     240.03,         113,       0.12,      160.72,        0.47,       19.90,   38578,       0
2015-08-26 11:34:09,  38849,     240.03,         114,       0.12,      161.85,        0.47,       18.92,   38849,       0
2015-08-26 11:39:39,  39093,     240.03,         114,       0.12,      162.87,        0.47,       18.84,   39093,       0
2015-08-26 11:45:09,  38666,     240.03,         113,       0.12,      161.09,        0.47,       19.71,   38666,       0
2015-08-26 11:50:39,  39029,     240.03,         114,       0.12,      162.60,        0.47,       18.95,   39029,       0
2015-08-26 11:56:09,  38063,     240.03,         111,       0.12,      158.58,        0.46,       19.41,   38063,       4
2015-08-26 12:01:39,  38667,     240.03,         113,       0.12,      161.09,        0.47,       19.14,   38667,       0
2015-08-26 12:07:09,  39161,     240.03,         114,       0.11,      163.15,        0.47,       18.65,   39161,       0
2015-08-26 12:12:39,  38289,     240.02,         112,       0.13,      159.52,        0.47,       20.35,   38289,       0
2015-08-26 12:18:09,  38673,     240.04,         113,       0.12,      161.11,        0.47,       19.53,   38673,       0
2015-08-26 12:23:39,  38740,     240.03,         113,       0.12,      161.40,        0.47,       19.17,   38740,       0
2015-08-26 12:29:09,  38412,     240.03,         112,       0.12,      160.03,        0.47,       19.78,   38412,       0
2015-08-26 12:34:39,  38901,     240.03,         114,       0.12,      162.07,        0.47,       18.88,   38901,       0
2015-08-26 12:40:09,  38643,     240.03,         113,       0.12,      160.99,        0.47,       19.97,   38643,       0
2015-08-26 12:45:39,  38401,     240.03,         112,       0.12,      159.98,        0.47,       19.83,   38401,       0
2015-08-26 12:51:09,  38261,     240.04,         112,       0.12,      159.39,        0.47,       19.64,   38261,       0
2015-08-26 12:56:39,  38918,     240.03,         114,       0.12,      162.14,        0.47,       19.35,   38918,       1
